Console,GameName,Review,Score
PC,Baldur's Gate 3 Early Access,EarlyAccess,6
NS,Control: Ultimate Edition Cloud Version,Good,7
XONE; PC; PS4,Doom Eternal: The Ancient Gods Part 1,Good,7
XONE; PC; PS4,Watch Dogs: Legion,Great,8
PC,Ring Of Pain,Great,8
NS,Pikmin 3 Deluxe,Great,8
PC; XONE; PS4,Ghostrunner,Good,7
PC; NS,Disc Room,Great,8
XONE; PS4,NHL 21,Superb,9
PC,Noita,Good,7
PC,Amnesia: Rebirth,Great,8
PC; PS4,Genshin Impact,Good,7
PC; XONE; PS4; NS,Ikenfell,Fair,6
NS,Ring Fit Adventure,Superb,9
XONE; PC; PS4,Star Wars: Squadrons ,Good,7
NS,Mario Kart Live: Home Circuit,Good,7
PC,I Am Dead ,Good,7
PS4,FIFA 21 ,Great,8
NS,Super Mario Bros. 35 ,Good,7
PC,The Solitaire Conspiracy ,Good,7
XONE; PS4,Crash Bandicoot 4 ,Great,8
NS,Kirby Fighters 2 ,Fair,6
PC,Pendragon ,Fair,6
PC,Serious Sam 4 ,Good,7
PS4,NBA 2K21 ,Fair,6
PC,Crusader Kings 3 ,Great,8
PS4,Spelunky 2 ,Great,8
PC,Mafia: Definitive Edition ,Fair,6
PC,Surgeon Simulator 2 ,Fair,6
PC; NS,Hades ,Superb,9
PS4,13 Sentinels: Aegis Rim,Superb,9
NS,Super Mario 3D All-Stars,Great,8
PC,Road To Guangdong,Terrible,2
PC; PS4; XONE; NS,Vampire: The Masquerade ,Fair,6
PS4,Othercide,Great,8
PC,Marvel's Avengers ,Good,7
XONE; PC,Tell Me Why,Good,7
NS,Moon ,Great,8
PC,Star Renegades ,Great,8
NS,The Last Campfire ,Great,8
PS4; XONE,Tony Hawk's Pro Skater 1 + 2 ,Superb,9
PC; NS,Paradise Killer,Superb,9
PC; PS4; NS,Evergate ,Great,8
PS4,Madden 21 ,Fair,6
PC; NS,A Short Hike,Superb,9
PS4; PC; XONE,Project Cars 3 ,Good,7
PC,Control AWE DLC,Fair,6
PS4,Windbound ,Mediocre,5
PC,Thousand Threads ,Mediocre,5
PC,Spiritfarer ,Superb,9
PC; NS,No Straight Roads ,Good,7
PC,Microsoft Flight Simulator ,Superb,9
IOS,Next Stop Nowhere ,Bad,3
PS4,PGA Tour 2K21 ,Great,8
PC,Dead By Daylight (2020) ,Superb,9
PC,Mortal Shell ,Great,8
PC,Skater XL ,Mediocre,5
PC,Battletoads ,Fair,6
PC; XONE,Hyper Scape,Fair,6
PC,A Total War Saga: Troy ,Good,7
PC,Risk Of Rain 2,Great,8
PC; PS4,Fall Guys: Ultimate Knockout ,Good,7
PC,Skully,Mediocre,5
PC,Umurangi Generation ,Superb,9
PC,Littlewood ,Great,8
PS4,Horizon Zero Dawn,Superb,9
XONE; PC,Grounded ,EarlyAccess,6
PC,Desperados 3 ,Superb,9
PC,Rock Of Ages 3: Make & Break ,Good,7
PC; IOS,Beyond A Steel Sky ,Mediocre,5
NS,Panzer Paladin,Great,8
XONE,Maid Of Sker ,Poor,4
XONE,Destroy All Humans ,Fair,6
PC; XONE; NS,Carrion,Good,7
PC,Necrobarista,Good,7
XONE; PC,Ooblets Early Access,EarlyAccess,7
PC,Fight Crab ,Fair,6
PC,Rocket Arena,Fair,6
PC; PS4; NS; XONE,Superliminal ,Great,8
NS,Paper Mario: The Origami King,Great,8
NS,Bloodstained: Curse Of The Moon 2,Great,8
PS4,Ghost Of Tsushima ,Good,7
NS,Story Of Seasons: Friends Of Mineral Town ,Mediocre,5
PS4,Superhot: Mind Control Delete ,Good,7
PS4,Death Stranding,Superb,9
PS4,CrossCode ,Fair,6
NS,Deadly Premonition 2: A Blessing In Disguise,Mediocre,5
PS4,Marvel's Iron Man VR ,Fair,6
NS,Ninjala ,Fair,6
NS,Mr. Driller Drill Land,Great,8
PC,West Of Dead ,Mediocre,5
NS,Pokemon Sword And Shield Isle Of Armor DLC,Great,8
IOS,Slay The Spire ,Superb,9
NS,Death Come True ,Fair,6
PC,Crucible,Mediocre,5
PS4,The Last Of Us Part 2 ,Great,8
PS4,The Last Of Us Part 2 ,Great,8
PS4,SpongeBob SquarePants: Battle for Bikini Bottom ,Terrible,2
PC,Valorant ,Good,7
PS4,Skelattack ,Mediocre,5
PS4,Project Warlock ,Fair,6
PC,Disintegration ,Good,7
NS,XCOM 2 Collection,Fair,6
NS,The Outer Worlds,Fair,6
NS,Liberated,Poor,4
PC,Resolutiion ,Fair,6
PC,Those Who Remain ,Bad,3
PC,Sea Of Thieves (2020) ,Great,8
NS,Xenoblade Chronicles: Definitive Edition,Superb,9
XONE,Minecraft Dungeons,Good,7
PS4,Maneater ,Good,7
PS4,Mortal Kombat 11: Aftermath ,Good,7
PC,If Found ,Superb,9
NS,What The Golf Switch ,Superb,9
PC; IOS,What The Golf,Great,8
NS,The Wonderful 101 Remastered ,Poor,4
WIIU,The Wonderful 101,Great,8
NS,Hatsune Miku: Project DIVA MegaMix ,Great,8
PC,Rainbow Six Siege (2020),Essential,10
PC,Legends Of Runeterra ,Superb,9
PS4,Predator: Hunting Grounds,Poor,4
PS4,Sakura Wars,Good,7
PC,XCOM: Chimera Squad,Great,8
PC,Cloudpunk ,Good,7
PS4,Streets Of Rage 4 ,Great,8
XONE; PC; PS4,Rainbow Six Siege (2015),Great,8
PC,Gears Tactics,Great,8
PC,Fallout 76: Wastelanders ,Mediocre,5
NS,Trials Of Mana ,Fair,6
NS,Treachery In Beatdown City,Great,8
PC,In Other Waters,Superb,9
XONE,Bleeding Edge ,Fair,6
PS4,Final Fantasy 7 Remake,Essential,10
NS,Animal Crossing: New Horizons ,Superb,9
PS4,Persona 5 Royal ,Essential,10
PS4,Resident Evil 3 Remake,Fair,6
NS,Good Job ,Good,7
PC,Corruption 2029,Fair,6
PS4,MLB The Show 20,Great,8
PC; PS4; XONE,Call Of Duty Warzone,Good,7
PC,Half-Life: Alyx,Superb,9
PC; NS; XONE; PS4,Doom Eternal ,Great,8
PS4,Nioh 2,Great,8
XONE,Ori And The Will Of The Wisps,Great,8
PC,Mindseize ,Fair,6
LNX; MAC; AND; PC,Dota Underlords,Superb,9
NS,Pokemon Mystery Dungeon: Rescue Team DX,Great,8
PC,Wolcen: Lords Of Mayhem,Poor,4
PS4,Bloodroots,Great,8
NS,Snack World,Poor,4
PS4,Dreams,Superb,9
PS4,Granblue Fantasy Versus ,Good,7
PC,The Pedestrian ,Good,7
PC,Through The Darkest Of Times ,Great,8
NS,Kunai ,Good,7
NS,Kentucky Route Zero,Superb,9
PS4,Kingdom Hearts 3 Re:Mind ,Poor,4
PC,Lenna's Inception ,Good,7
PC; PS4,Journey To The Savage Planet ,Good,7
PC,Frostpunk: The Last Autumn ,Great,8
XONE; PS4,Dragon Ball Z: Kakarot ,Good,7
PC,Unity Of Command 2 ,Great,8
PC; NS; IOS,Overland ,Great,8
PS4; PC; XONE,Ace Combat 7: Skies Unknown ,Great,8
PS4; XONE; PC,The Outer Worlds ,Superb,9
PC; PS4; XONE,Draugen ,Good,7
PS4,Wattam ,Good,7
PC,Supermash ,Bad,3
NS,The Touryst ,Great,8
PC,Phoenix Point ,Great,8
PC,Darksiders: Genesis ,Good,7
PC,Shovel Knight: King Of Cards ,Great,8
PS4; PC; XONE,Life Is Strange 2: Episode 5 ,Great,8
PS4,Audica ,Fair,6
PS4,Shenmue 3 ,Mediocre,5
PC,Blacksad: Under The Skin ,Mediocre,5
PC,Planet Zoo ,Good,7
NS,Sparklite ,Fair,6
PS4; PS4,Star Wars Jedi: Fallen Order ,Great,8
NS,Pokemon Sword & Shield ,Superb,9
NS,Layton's Mystery Journey: Katrielle And The Millionaire's Conspiracy ,Good,7
PS4,Need For Speed Heat ,Good,7
NS,Mario & Sonic At The Olympic Games Tokyo 2020 ,Good,7
PC; PS4,Call Of Duty: Modern Warfare ,Good,7
PS4; XONE,Red Dead Redemption 2 ,Superb,9
AND; IOS,Call Of Duty Mobile ,Great,8
PC,Disco Elysium ,Essential,10
PC,Afterparty ,Good,7
NS,Luigi's Mansion 3,Great,8
PS4,WWE 2K20,Terrible,2
PS4,Super Monkey Ball Banana Blitz HD ,Mediocre,5
PC; IOS,Manifold Garden ,Superb,9
PS4,MediEvil ,Mediocre,5
NS,Felix The Reaper ,Mediocre,5
NS,Little Town Hero ,Mediocre,5
NS,The Witcher 3 ,Superb,9
NS,Killer Queen Black ,Great,8
PC; XONE; PS4,Ghost Recon Breakpoint ,Poor,4
PC,John Wick Hex ,Great,8
PS4,Concrete Genie ,Good,7
PC,Indivisible ,Good,7
PC; NS; IOS,Neo Cab ,Good,7
PC; PS4,Destiny 2 Shadowkeep ,Great,8
NS,Yooka-Laylee And The Impossible Lair ,Fair,6
NS,Sayonara Wild Hearts ,Fair,6
PC; PS4,Code Vein ,Fair,6
PC; NS,Untitled Goose Game ,Great,8
PC,The Surge 2 ,Great,8
IOS; PC; NS,80 Days ,Great,8
PS4,FIFA 20 ,Great,8
NS; PS4,Dragon Quest XI ,Superb,9
PC,Blasphemous ,Good,7
PC,Greedfall ,Mediocre,5
XONE,NHL 20 ,Superb,9
NS,The Legend Of Zelda: Link’s Awakening ,Great,8
PS4,No Man's Sky Beyond ,Superb,9
PC,Children of Morta,Great,8
PS4,AI: The Somnium Files ,Great,8
PC,Borderlands 3 ,Great,8
PS4,eFootball PES 2020 ,Good,7
NS,Daemon X Machina ,Good,7
XONE; PC,Gears 5 ,Good,7
PC; PS4; NS,Divinity: Original Sin 2 ,Essential,10
PC,Creature In The Well ,Great,8
PS4,Monster Hunter World: Iceborne ,Superb,9
PS4; PC,Knights And Bikes ,Great,8
PS4,Erica ,Great,8
PS4; XONE; PC,Apex Legends ,Superb,9
PS4,The Dark Pictures: Man of Medan ,Fair,6
PC,Blair Witch (Game) ,Mediocre,5
PS4,Catherine: Full Body ,Great,8
NS,Astral Chain ,Great,8
PC,Telling Lies ,Good,7
PC,Ancestors: The Humankind Odyssey ,Poor,4
XONE; PS4,Control ,Great,8
XONE; PC; PS4,Life Is Strange 2: Episode 4 ,Good,7
PC,Remnant: From the Ashes ,Good,7
PC,Wolfenstein: Youngblood ,Great,8
PS4,Kill La Kill The Game: IF ,Good,7
PC; NS,Etherborn,Fair,6
PC,Warframe (2019),Great,8
NS,Marvel Ultimate Alliance 3: The Black Order ,Great,8
PC,Night Call ,Great,8
PC; PS4,Final Fantasy XIV: Shadowbringers ,Superb,9
NS,Dragon Quest Builders 2 ,Great,8
PS4,SolSeraph ,Fair,6
PC,198X,Mediocre,5
PC,Weedcraft Inc ,Mediocre,5
PC,They Are Billions ,Great,8
PS4,Sea Of Solitude ,Good,7
NS,Super Mario Maker 2 ,Great,8
NS,Bloodstained: Ritual Of The Night ,Fair,6
PC; PS4,Bloodstained: Ritual Of The Night ,Great,8
PS4,Samurai Shodown ,Great,8
PC,F1 2019 ,Superb,9
PS4,Judgment ,Good,7
PS4,The Sinking City ,Bad,3
PC,Imperator: Rome,Mediocre,5
PC,Mordhau ,Great,8
NS,Cadence Of Hyrule ,Great,8
PC; NS,My Friend Pedro ,Good,7
PS4,Crash Team Racing Nitro-Fueled ,Great,8
PC,Outer Wilds ,Superb,9
NS; PC,Octopath Traveler,Great,8
3DS,Persona Q2 ,Good,7
PC; PS4,Observation ,Great,8
PS4; PC,Dauntless ,Good,7
PC,Void Bastards ,Great,8
PS4,Trover Saves The Universe ,Good,7
PS4,Blood and Truth ,Good,7
PC; XONE,Pathologic 2 ,Mediocre,5
PC,Anno 1800 ,Good,7
PC; XONE; PS4; NS,Mortal Kombat 11 ,Superb,9
PC,Total War: Three Kingdoms ,Great,8
NS,Travis Strikes Again: No More Heroes ,Fair,6
PS4; XONE; PC,A Plague Tale: Innocence ,Great,8
XONE,Layers of Fear 2 ,Mediocre,5
PS4,Everybody's Golf VR ,Fair,6
XONE; PS4,Team Sonic Racing ,Good,7
PC; PS4,Metro Exodus ,Great,8
PC,Whispers of a Machine,Good,7
PS4,Darkwood ,Superb,9
PC,Rage 2,Fair,6
PS4; PC; XONE,Life Is Strange 2: Episode 3,Great,8
PC,World War Z ,Fair,6
XONE,Giga Wrecker Alt ,Poor,4
PS4,Yakuza Kiwami 2 ,Great,8
PS4,Days Gone,Good,7
NS,BoxBoy! + BoxGirl! ,Good,7
NS,SteamWorld Quest ,Good,7
PC,Katana Zero ,Great,8
XONE; PC; NS,Cuphead ,Great,8
PS4,Falcon Age ,Great,8
PC,Pathway ,Fair,6
PC; PS4,Heaven's Vault ,Fair,6
PS4; XONE; NS; PC,My Time At Portia ,Fair,6
PS4; PC; XONE; NS,Hellblade: Senua's Sacrifice ,Great,8
PS4,Zanki Zero: Last Beginning ,Fair,6
PS4,MLB The Show 19 ,Superb,9
PC,Tropico 6 ,Great,8
PC; XONE; PS4,The Division 2 ,Superb,9
PC,The World Next Door ,Fair,6
PC,Operencia: The Stolen Sun ,Great,8
PS4,Sekiro: Shadows Die Twice ,Essential,10
PC,The Walking Dead: The Final Season Episode 4,Superb,9
NS,Yoshi's Crafted World ,Great,8
PC,Hypnospace Outlaw ,Great,8
PC; NS,Baba is You ,Good,7
PC,Ethereal,Good,7
PS4,Left Alive,Bad,3
PC,Objects In Space ,Great,8
XONE,Devil May Cry 5 ,Superb,9
PS4,ToeJam & Earl: Back In The Groove,Mediocre,5
NS,Assault Android Cactus+ ,Superb,9
PC; NS,Ape Out ,Good,7
3DS,Kirby's Extra Epic Yarn ,Superb,9
PS4,Dead Or Alive 6 ,Good,7
PC; XONE; PS4,The Occupation ,Great,8
XONE; PC; PS4,Far Cry: New Dawn,Fair,6
PC,Civilization 6: Gathering Storm ,Superb,9
PC,Eastshade ,Superb,9
PS4,Trials Rising ,Good,7
PC,Devotion ,Superb,9
PC; XONE; PS4,Anthem ,Fair,6
NS,Tetris 99 ,Great,8
XONE,Crackdown 3 ,Mediocre,5
PC; XONE; PS4,Jump Force,Good,7
3DS,Yo-kai Watch 3,Fair,6
PS4; PC,Yakuza Kiwami ,Great,8
PS4; PC,God Eater 3 ,Fair,6
PC,Astroneer ,Fair,6
NS,Dragon Marked for Death,Good,7
PC,Sunless Skies ,Great,8
NS,Wargroove ,Great,8
3DS,Etrian Odyssey Nexus ,Great,8
PC,Jon Shafer's At The Gates ,Good,7
PS4; PC,The Hong Kong Massacre ,Good,7
PC; PS4; NS,Downwell ,Great,8
PC,Mage's Initiation: Reign Of The Elements ,Fair,6
XONE; PS4,Kingdom Hearts 3 ,Great,8
PC; NS,Pikuniku ,Great,8
XONE,Genesis Alpha One,Poor,4
XONE; PC; PS4,Resident Evil 2,Superb,9
PS4; XONE; PC,Life Is Strange 2: Episode 2 ,Great,8
3DS,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,Great,8
PS4,The Walking Dead: The Final Season Episode 3,Great,8
PS4,YIIK: A Postmodern RPG,Mediocre,5
NS,Double Cross,Fair,6
PS4,Vane,Mediocre,5
PC,The Eternal Castle Remastered ,Great,8
NS,New Super Mario Bros. U Deluxe,Good,7
XONE; PC,Below ,Fair,6
NS,Bury Me; My Love,Great,8
NS,Battle Princess Madelyn ,Fair,6
NS,Super Smash Bros. Ultimate ,Superb,9
PC,Gris ,Superb,9
PC; XONE; PS4; NS,Monster Boy And The Cursed Kingdom ,Great,8
PC; PS4,Thronebreaker: The Witcher Tales,Superb,9
PC; PS4; XONE; NS,Desert Child ,Mediocre,5
PS4,Earth Defense Force 5 ,Great,8
XONE; PC,Ashen ,Superb,9
PC,Artifact ,Great,8
PC,Just Cause 4,Fair,6
PS4,Big Bash Boom,Mediocre,5
PC,Cosmic Top Secret ,Good,7
PS4,Darksiders 3,Poor,4
PS4,Persona 5: Dancing In Starlight ,Great,8
PS4,Persona 3: Dancing In Moonlight,Superb,9
PS4,Beat Saber ,Great,8
PC; PS4; NS,Nidhogg 2 ,Good,7
PS4; PC; XONE,Hitman 2 ,Great,8
PC; PS4; XONE,Fallout 76 ,Poor,4
PC,Underworld Ascendant,Terrible,2
NS,Taiko no Tatsujin: Drum 'n' Fun / Drum Session ,Good,7
PC,Battlefield 5 ,Great,8
NS; NS,Pokemon Let's Go Pikachu And Let's Go Eevee,Great,8
PC,Overkill's The Walking Dead,Bad,3
PS4,Spyro Reignited Trilogy ,Great,8
PS4; XONE; PC,11-11: Memories Retold ,Good,7
XONE; NS,Full Metal Furies ,Great,8
PC; PS4; XONE; NS,Sinner: Sacrifice for Redemption ,Fair,6
PS4,The Quiet Man ,Terrible,2
PC,Cities: Skylines - Industries,Good,7
NS,SNK 40th Anniversary Collection ,Great,8
PS4,Deracine,Mediocre,5
PC,Football Manager 2019 ,Great,8
PC; PS4; XONE,Call Of Cthulhu ,Mediocre,5
NS,Diablo 3: Eternal Collection Switch ,Superb,9
PC,Gwent ,Great,8
NS,Black Bird ,Mediocre,5
PC; PS4; NS,Transistor,Great,8
PS4; XONE,My Hero One's Justice ,Fair,6
PS4,WWE 2K19,Good,7
PC; MAC,Return Of The Obra Dinn,Superb,9
XONE,NBA 2K Playgrounds 2 ,Mediocre,5
PS4,Call Of Duty: Black Ops 4 ,Great,8
AND; IOS,Reigns: Game Of Thrones,Great,8
PC; XONE; PS4,SoulCalibur 6 ,Great,8
PS4,Lego DC Super-Villains,Mediocre,5
NS,Dark Souls Remastered Switch,Great,8
NS; XONE; PS4,Starlink: Battle for Atlas ,Good,7
PC; NS,Armello ,Great,8
3DS,Luigi's Mansion ,Good,7
PS4; XONE; PC; NS,The Missing ,Great,8
XONE; PS3; NS,Child of Light,Great,8
PC; PS4; NS,Chasm,Great,8
NS,Super Mario Party ,Good,7
PC,World of Warcraft: Battle For Azeroth ,Good,7
PC; PS4; XONE,My Memory of Us ,Mediocre,5
NS,FIFA 19 ,Mediocre,5
PC,Pathfinder: Kingmaker ,Fair,6
PS4; XONE; PC,Assassin's Creed Odyssey,Great,8
XONE; PS4,FIFA 19 ,Good,7
PC; XONE,Forza Horizon 4 ,Superb,9
PS4; PC; XONE,Destiny 2: Forsaken ,Great,8
PC; NS,Cities: Skylines ,Great,8
NS; XONE; PS4,Mega Man 11 ,Good,7
NS,Freedom Planet,Good,7
PS4,Fist Of The North Star: Lost Paradise,Great,8
PC,The Bard's Tale IV: Barrows Deep,Poor,4
NS,Final Fantasy XV: Pocket Edition HD,Good,7
XONE; PS4; NS,Dragon Ball FighterZ,Superb,9
PS4,PES 2019,Superb,9
PS4,Telltale's The Walking Dead: The Final Season Episode 2,Great,8
PC; PS4; XONE,Life Is Strange 2: Episode 1,Superb,9
PS4,Transference,Good,7
PC,Star Control: Origins,Fair,6
PC; NS,Broken Sword 5: The Serpent's Curse,Great,8
NS,The Gardens Between,Great,8
XONE; PS4,NHL 19,Great,8
NS,Wasteland 2: Director's Cut,Great,8
PS4,Zone Of The Enders: The 2nd Runner - MARS,Mediocre,5
PC; MAC; PS4; NS,Undertale,Superb,9
NS,Nintendo Labo Vehicle Kit,Good,7
PC,Lamplight City,Fair,6
PC,Frozen Synapse 2,Great,8
PS4,428: Shibuya Scramble,Great,8
PS4,NBA 2K19 ,Good,7
PS4; XONE; PC; NS,Valkyria Chronicles 4,Great,8
PS4; PC; XONE,Shadow Of The Tomb Raider,Fair,6
PS4; XONE,NBA Live 19,Good,7
PC,Two Point Hospital,Great,8
PS4,Marvel's Spider-Man PS4,Superb,9
XONE,Strange Brigade,Good,7
NS,Planet Alpha,Good,7
PC,Donut County,Fair,6
NS,Little Dragons Cafe,Fair,6
PC; NS,Into The Breach,Superb,9
TG16,Vigilante,Terrible,2
PC; NS,The Messenger,Great,8
PC,The Golf Club 2019,Great,8
NS,Hollow Knight,Superb,9
NS,Monster Hunter Generations Ultimate,Good,7
PS4,F1 2018,Superb,9
PC,Death's Gambit,Fair,6
PC,The King's Bird,Mediocre,5
PS4,Guacamelee 2,Superb,9
PS4,H1Z1 Battle Royale PS4,Good,7
PS4,The Walking Dead - The Final Season Episode 1: Done Running,Great,8
PC,Phantom Doctrine,Superb,9
PC,Flipping Death,Good,7
XONE,Madden NFL 19,Great,8
PC,We Happy Few,Poor,4
PC,Unavowed,Superb,9
PS4; PC,Monster Hunter World,Great,8
NS,Overcooked 2,Great,8
PS4; XONE; NS; PC,Dead Cells,Superb,9
PS4,No Man's Sky,Good,7
PC; PS4; XONE,No Man's Sky Next,Great,8
3DS,WarioWare Gold,Great,8
PC,The Banner Saga 3,Great,8
NS; PS4,Mega Man X Legacy Collection 1 + 2,Great,8
XONE,Earthfall,Poor,4
NS,Semblance,Good,7
PS4; XONE; PC,Mothergunship,Great,8
NS,20XX,Good,7
PS4,Fighting EX Layer,Great,8
NS,Captain Toad: Treasure Tracker,Great,8
PS4; XONE; PC; NS,Sonic Mania Plus,Superb,9
PS3; VITA; PS4,Rainbow Skies: Rainbow in the Dark,Mediocre,5
PS4,The Crew 2,Great,8
NS,Wolfenstein 2: The New Colossus,Great,8
PC,Wreckfest,Superb,9
NS; PS4; XONE; PC,Lumines Remastered: Groove Is In The Heart,Great,8
PS4; NS; XONE; PC,Crash Bandicoot N Sane Trilogy,Fair,6
NS,Mario Tennis Aces,Good,7
PC; PS4; XONE,Nier: Automata,Superb,9
XONE; PS4; PC,The Awesome Adventures Of Captain Spirit,Great,8
PS4; PC; XONE,Jurassic World Evolution,Good,7
PS4; XONE; PC,Unravel 2,Great,8
PC; PS4,Moonlighter,Good,7
NS,Sushi Striker: The Way Of Sushido,Good,7
PC; NS,West Of Loathing,Great,8
NS; PS4,BlazBlue: Cross Tag Battle,Superb,9
PS4,Onrush,Superb,9
PC,Golem,Mediocre,5
PS4; PC,Vampyr,Good,7
PC,Yoku’s Island Express,Superb,9
3DS,Dillon's Dead-Heat Breakers,Fair,6
PC,The Forest,Great,8
PC,Agony,Bad,3
XONE; NS; PC; PS4,Street Fighter 30th Anniversary Collection,Great,8
PC,Quarantine Circular,Good,7
XONE; PC,Conan Exiles,Bad,3
NS,Wizard Of Legend,Good,7
PS4,Detroit: Become Human,Good,7
NS; PC,Runner 3,Good,7
XONE; PC,State Of Decay 2,Mediocre,5
NS,Hyrule Warriors: Definitive Edition,Great,8
PC; NS,Framed Collection,Good,7
PC; XONE; PS4; NS,Battle Chasers Nightwar,Great,8
PC; PS4,Battle Chasers: Nightwar,Fair,6
PC,FAR: Lone Sails,Great,8
PS4,Destiny 2: Warmind,Fair,6
PC,Pillars Of Eternity 2: Deadfire,Great,8
PC,Battletech,Great,8
PC,Total War Saga: Thrones Of Britannia,Great,8
XONE; PS4; PC,City of Brass,Good,7
NS,Nintendo Labo,Good,7
NS,Donkey Kong Country: Tropical Freeze,Superb,9
WIIU,Donkey Kong Country: Tropical Freeze,Fair,6
NS,Jotun: Valhalla Edition Switch,Good,7
PC,Frostpunk,Superb,9
XONE,The Invisible Hours,Good,7
PS4; PC,The Swords Of Ditto,Good,7
3DS,The Alliance Alive,Great,8
PC; XONE; PS4,Life Is Strange: Before The Storm,Great,8
PS4,Yakuza 6: The Song Of Life,Great,8
PS4,God Of War,Superb,9
NS,Penny-Punching Princess,Fair,6
PC; XONE; PS4,Extinction,Poor,4
PC,Fortnite: Battle Royale,Great,8
PS4; XONE,Far Cry 5,Superb,9
PC; PS4,Minit,Great,8
PC,Kerbal Space Program: Making History,Good,7
PC,Orwell: Ignorance Is Strength,Fair,6
PS4,MLB The Show 18,Superb,9
XONE,Sea Of Thieves,Fair,6
NS,Bridge Constructor Portal,Poor,4
PS4,Batman: The Enemy Within - Episode 5: Same Stitch, Superb,9
PC,H1Z1,Fair,6
PC,Ni No Kuni 2: Revenant Kingdom,Great,8
PS4,A Way Out,Fair,6
3DS,Detective Pikachu,Good,7
PS4,Attack on Titan 2,Great,8
PC,Surviving Mars,Great,8
PS4,Bravo Team,Poor,4
NS,Kirby Star Allies,Great,8
PS4,The 25th Ward: The Silver Case,Fair,6
PC,Pit People,Good,7
PS4,Q.U.B.E. 2,Good,7
PS4,Gravel,Mediocre,5
PS4; NS,Mulaka,Good,7
3DS,Mario & Luigi: Superstar Saga + Bowser's Minions,Great,8
PS4; XONE; PC; NS,Pac-Man: Championship Edition 2,Great,8
PS4,Metal Gear Survive,Mediocre,5
PC,Where The Water Tastes Like Wine,Fair,6
PS4,Moss,Great,8
NS,Payday 2,Mediocre,5
PC; PS3; X360,Payday 2,Good,7
PC,Age Of Empires: Definitive Edition,Fair,6
PC; XONE; PS4,Kingdom Come: Deliverance,Great,8
NS,Fe,Good,7
PS4,Secret Of Mana,Fair,6
PC,Rust,Bad,3
PC,Attack Of The Earthlings,Good,7
NS,Aegis Defenders,Poor,4
WIIU; NS,Bayonetta 2,Essential,10
PS4,Dynasty Warriors 9,Good,7
PC; NS,Owlboy,Superb,9
NS,The Longest Five Minutes,Fair,6
PC,Crossing Souls,Fair,6
3DS,Radiant Historia Perfect Chronology,Great,8
PC,Civilization 6: Rise And Fall,Great,8
NS,Dragon Quest Builders,Great,8
NS; PC,Dandara,Good,7
PS4,Dissidia Final Fantasy NT,Mediocre,5
PS4,UFC 3,Great,8
PS4; PC; NS,Night In The Woods,Superb,9
PC,OK K.O.! Let's Play Heroes,Fair,6
PS4,Shadow Of The Colossus,Superb,9
PC,Subnautica,Superb,9
PS4,Lost Sphear,Fair,6
NS,Celeste,Superb,9
PS4,MLB The Show 17,Great,8
PS4; VITA,Iconoclasts,Superb,9
PS4,The Inpatient,Great,8
PS4,AO Tennis,Bad,3
PC,The Red Strings Club,Superb,9
PS4; XONE; PC,Batman: The Enemy Within - Episode 4: What Ails You,Superb,9
PC; PS4,Street Fighter 5: Arcade Edition,Superb,9
PC,Spellforce 3,Good,7
NS; PC,Tiny Metal,Good,7
NS,Brawlout,Mediocre,5
PC,L.A. Noire: The VR Case Files,Great,8
PC,PlayerUnknown's Battlegrounds,Great,8
PC,Hello Neighbor,Bad,3
PC; NS,Gorogoa,Great,8
NS,The Legend of Zelda: Breath Of The Wild - The Champions' Ballad,Great,8
PC,Rumu,Good,7
PS4,Destiny 2: Curse Of Osiris,Mediocre,5
PS4,Steep: Road To The Olympics,Good,7
PS4,Doom VFR,Good,7
NS,Xenoblade Chronicles 2,Superb,9
PC; PS4; NS,Rive,Great,8
PC,Batman: The Enemy Within - Episode 3: Fractured Mask,Great,8
NS,LA Noire Switch,Good,7
PS4; XONE; PC,Star Wars Battlefront II,Fair,6
3DS; 3DS,Pokemon Ultra Sun And Ultra Moon,Great,8
PC,Football Manager 2018,Superb,9
NS,The Elder Scrolls V: Skyrim Switch,Great,8
PS4,Ashes Cricket,Good,7
PS4,Lego Marvel Super Heroes 2,Good,7
NS,Doom Switch,Good,7
PS4,GT Sport,Great,8
PC,Hand Of Fate 2,Great,8
NS,Rocket League Switch,Superb,9
PS4; XONE; NS; PC,Sonic Forces,Mediocre,5
3DS,Etrian Odyssey 5: Beyond The Myth,Great,8
NS,Spelunker Party,Fair,6
PS4,Steven Universe: Save the Light,Fair,6
PS4; XONE,Need For Speed Payback,Mediocre,5
PS4,Oure,Mediocre,5
PS4,Horizon: Zero Dawn - The Frozen Wilds,Great,8
XONE; PS4,Call Of Duty: WWII,Superb,9
XONE; PC; XONE,Super Lucky's Tale,Fair,6
PS4; PC; XONE,Wolfenstein 2: The New Colossus,Superb,9
PS4,Life Is Strange: Before The Storm - Episode 2: Brave New World,Good,7
PS4,Megaton Rainfall,Good,7
PS4,The Mummy Demastered,Good,7
NS,Super Mario Odyssey,Essential,10
PS4; XONE; PC; XONE; PC; PS4,Assassin's Creed Origins,Good,7
PC,Arktika.1,Good,7
PS4; XONE; PC,Destiny 2,Great,8
NS,Golf Story,Great,8
PS4,Elex,Poor,4
PS4; XONE; PC,WWE 2K18,Mediocre,5
NS,Fire Emblem Warriors,Fair,6
